run,hash,timestamp,metric,status,summary
43,926e0b0,2026-04-05T00:17:52.374196+00:00,0.397900,kept,"A2 symmetric sqrt: tuning=0.3979, HELDOUT=0.4997 BEST. Beats BM25 (0.4734) by +5.6%. TREC-COVID +3.3%, Touché +27%, SCIDOCS +0.2%, Quora -0.3%. ZERO length params."
42,2bd5f2c,2026-04-05T00:14:57.130306+00:00,0.390300,kept,"A1+B1 combo: tuning=0.3903, heldout=0.4478. Worse than A1 alone. B1 log-tf hurts long-doc datasets when combined with root length."
41,2c93aa8,2026-04-05T00:12:36.473174+00:00,0.404100,kept,"D1 likelihood-ratio: tuning=0.4041, heldout=0.4047. Most consistent (gap=0.1%) but lower absolute. Quora 0.7796 best of all forks."
40,5677155,2026-04-05T00:09:41.249902+00:00,0.395500,kept,"C1 tempered-idf: tuning=0.3955, heldout=0.4441. Quora 0.7702 good, but overall worse than baseline"
39,8c0cee6,2026-04-05T00:08:00.738570+00:00,0.399500,kept,"B1 log-tf: tuning=0.3995, heldout=0.4092. ArguAna 0.4171 great, Quora 0.7629 great, but FiQA 0.1913 and Touché 0.1838 bad"
38,234d0b7,2026-04-05T00:06:18.478729+00:00,0.380300,kept,"A1 root-length: tuning=0.3803 (down), heldout=0.4897 (UP from 0.4563). Touché 0.2617->0.4685 (+79%), Quora 0.7728->0.7124 (-8%)"
37,183fd84,2026-04-04T23:18:56.456276+00:00,0.409400,discarded,b=0.8: FiQA +4.6% but SciFact -0.4% and ArguAna -2.8%. Net same as b=0.9. Keep b=0.9.
36,613b118,2026-04-04T23:17:54.698520+00:00,0.408500,discarded,Short-doc penalty 0.05: 0.4095->0.4085. Still worse than 0.15. The penalty helps more datasets than it hurts.
35,6f3c4a5,2026-04-04T23:17:10.768128+00:00,0.408000,discarded,"Remove short-doc penalty: 0.4095->0.4080. Penalty helps other datasets, just hurts FiQA. Need adaptive penalty."
34,7907bf0,2026-04-04T22:48:43.610208+00:00,0.409500,kept,"DROP log-norm, use BM25 linear norm + short-doc penalty + adaptive saturation. 0.4029->0.4095 (+1.6%). BEATS BM25 (0.4064) by +0.76%. Log-norm was HURTING with stemmed tokens!"
